day,flux
2454135.8958,1.7782794100389228e-09
2454136.0013,5.623413251903491e-09
2454136.2,1.7782794100389227e-07
2454136.21,1e-08
2454136.226,1.7782794100389228e-08
2454136.23,1e-08
2454136.246,5.6234132519034905e-08
2454136.246,3.162277660168379e-08
2454136.25,1.7782794100389228e-08
2454136.25694,5.6234132519034905e-08
2454136.2764,5.623413251903491e-09
2454136.28,3.162277660168379e-08
2454136.284,3.162277660168379e-08
2454136.291,3.1622776601683795e-09
2454136.3,5.623413251903491e-10
2454136.3,1.7782794100389228e-08
2454136.3,1.778279410038923e-10
2454136.3,1e-08
2454136.3,1.7782794100389228e-08
2454136.3,3.162277660168379e-08
2454136.3021,1e-08
2454136.5,1e-08
2454136.5563,5.623413251903491e-09
2454137.1277,3.162277660168379e-08
2454137.2,5.6234132519034905e-08
2454137.2,1.7782794100389228e-08
2454137.2,3.162277660168379e-08
2454137.27,1e-08
2454137.3,3.162277660168379e-07
2454137.3,5.62341325190349e-07
2454137.5625,1.7782794100389228e-08
2454138.0236,1e-07
2454138.19792,1e-07
2454138.26,1.7782794100389228e-08
2454138.2847,3.162277660168379e-08
2454138.5,1e-07
2454138.51424,1.7782794100389227e-07
2454138.57292,5.6234132519034905e-08
2454138.58333,3.162277660168379e-08
2454138.62847,5.623413251903491e-09
2454138.868,5.623413251903491e-09
2454139.2085,1e-07
2454139.5,3.162277660168379e-08
2454139.5,1.7782794100389227e-07
2454139.5,1e-07
2454139.59028,1e-07
2454139.61736,1e-07
2454140.2,5.6234132519034905e-08
2454140.2,1.7782794100389227e-07
2454140.21528,1.7782794100389227e-07
2454140.2222,1.7782794100389227e-07
2454140.25,3.162277660168379e-07
2454140.5,1e-07
2454140.53472,1.7782794100389227e-07
2454140.6097,3.162277660168379e-08
2454141.2,1e-06
2454141.2,3.162277660168379e-08
2454141.25,1e-06
2454141.25,5.62341325190349e-07
2454141.3,1.7782794100389228e-08
2454141.3,5.6234132519034905e-08
2454141.3,5.6234132519034905e-08
2454142.2465,3.162277660168379e-07
2454142.29,3.162277660168379e-07
2454142.2978,1.7782794100389227e-07
2454142.333,3.162277660168379e-08
2454142.4,3.162277660168379e-08
2454142.46944,3.162277660168379e-07
2454142.5,1.7782794100389227e-07
2454142.5,5.6234132519034905e-08
2454142.5,1.778279410038923e-06
2454142.5361,1.7782794100389227e-07
2454142.5382,5.62341325190349e-07
2454143.2,1.778279410038923e-06
2454143.2361,5.62341325190349e-07
2454143.2396,1e-07
2454143.2785,1e-07
2454143.2813,5.62341325190349e-07
2454143.3111,5.62341325190349e-07
2454143.5,3.162277660168379e-07
2454143.5,1e-06
2454144.2396,1e-06
2454144.3,1e-07
2454144.5,3.162277660168379e-07
2454144.51042,1.778279410038923e-06
2454144.54514,1.778279410038923e-06
2454144.6458,3.162277660168379e-07
2454145.19792,1e-06
2454145.29,1.7782794100389227e-07
2454145.3,5.62341325190349e-07
2454145.5965,1e-06
2454145.6528,3.162277660168379e-06
2454145.9,5.62341325190349e-07
2454146.0,1e-05
2454146.2,3.162277660168379e-07
2454146.21,1e-07
2454146.23,1e-05
2454146.2326,1.778279410038923e-06
2454146.2396,1e-06
2454146.25,5.623413251903491e-09
2454146.26,1e-06
2454146.26,1e-06
2454146.26389,1e-06
2454146.2785,1e-06
2454146.29,5.62341325190349e-07
2454146.2917,3.162277660168379e-07
2454146.2965,1e-07
2454146.3,1e-06
2454146.3,1e-06
2454146.3125,1e-06
2454146.33889,3.162277660168379e-06
2454146.34028,1.778279410038923e-06
2454146.399,5.62341325190349e-07
